cliente_id,nombre,telefono,documento,monto_deuda,edad,genero,region,zona,tipo_cliente,es_digital,uso_app,uso_whatsapp,interaccion_digital_score,canal_whatsapp,canal_sms,canal_llamada,canal_campo,score_riesgo,prob_default,num_atrasos_previos,dias_mora_promedio,ratio_pago,ultimo_pago_dias,dias_mora,riesgo,opt_out,consentimiento,tiene_uplift,cuota_mensual,prob_pago_base,uplift_whatsapp,uplift_sms,uplift_llamada,uplift_campo,num_contactos_ult7d
C0001,Patricia Trujillo Condori,+51987100001,63157653,4284.34,47,F,Cajamarca,urbana,microempresa,False,0.27,0.56,0.42,True,True,True,True,0.49,0.444,6,57.7,0.29,70,61,medio,False,True,True,338.44,0.079,-0.0403,-0.0807,0.0026,-0.0229,2
C0002,Rosa Ccahuana Aliaga,+51987100002,61853191,2259.66,49,F,Lima,periurbana,microempresa,False,0.15,0.31,0.23,False,True,True,True,0.803,0.664,4,56.4,0.46,73,61,alto,False,True,True,179.78,0.534,-0.0385,-0.0706,-0.0181,-0.1247,6
C0003,Ana Ibáñez Mamani,+51987100003,79687883,8376.82,45,F,Junín,rural,pequeña,True,0.8,1.0,0.9,True,True,True,True,0.853,0.814,7,137.4,0.25,138,134,alto,False,True,True,546.09,0.502,0.1753,0.1236,0.1524,0.0947,0
C0004,Rosa Salas Pariona,+51987100004,60152723,7360.74,29,F,Lima,urbana,pequeña,True,0.7,0.89,0.79,True,True,True,True,0.053,0.045,2,22.6,0.76,45,16,bajo,False,True,True,910.51,0.733,0.0078,-0.0425,-0.1567,-0.0137,1
C0005,Wilmer Ticona Ñahui,+51987100005,51839668,4362.17,41,M,Cusco,urbana,pequeña,False,0.26,0.33,0.3,False,True,True,True,0.328,0.285,2,9.0,0.61,16,7,bajo,False,True,True,288.29,0.336,-0.0382,-0.0368,-0.0044,-0.0518,1
C0006,Marco Salazar Mendoza,+51987100006,66165945,14520.17,32,M,Lima,urbana,mediana,True,0.41,0.62,0.52,True,True,True,True,0.768,0.58,8,104.6,0.32,128,115,alto,True,True,True,938.08,0.331,0.2328,0.2019,0.2182,0.2002,0
C0007,Ana Salazar Bautista,+51987100007,60345574,11689.3,44,F,Cusco,periurbana,pequeña,False,0.12,0.27,0.2,False,True,True,True,0.286,0.289,1,20.5,0.56,49,24,bajo,False,True,True,1850.8,0.266,0.2827,0.3084,0.2524,0.2065,0
C0008,Yolanda Ayala Zegarra,+51987100008,43939902,1939.81,65,F,Lima,periurbana,microempresa,False,0.2,0.25,0.23,False,True,True,True,0.207,0.183,1,2.1,0.57,8,0,bajo,False,True,True,206.87,0.488,-0.0462,0.0021,0.0037,-0.0127,2
C0009,Flor Bautista Ayala,+51987100009,54811595,11701.72,49,F,Cusco,periurbana,pequeña,True,0.6,0.78,0.69,True,True,True,True,0.249,0.207,0,18.7,0.57,54,19,bajo,False,True,True,662.23,0.112,-0.0382,-0.0712,-0.1178,-0.0463,0
C0010,Rosa Paredes Cusi,+51987100010,65906971,8529.92,28,F,Puno,periurbana,pequeña,True,0.64,0.86,0.75,True,True,True,True,0.944,0.81,6,93.0,0.1,106,101,alto,False,True,True,573.97,0.438,0.2634,0.2197,0.301,0.2612,1
C0011,Nancy Paredes Ibáñez,+51987100011,67106191,11134.8,34,F,Junín,periurbana,pequeña,True,0.94,0.99,0.96,True,True,False,True,0.098,0.092,3,17.0,0.63,38,19,bajo,False,True,True,1021.99,0.815,-0.098,-0.0487,-0.0121,-0.0315,3
C0012,Julia Mendoza Yupanqui,+51987100012,69984963,9722.15,26,F,Cusco,urbana,pequeña,True,0.86,1.0,0.93,True,True,True,True,0.052,0.045,1,3.9,0.63,13,0,bajo,False,True,True,727.37,0.132,-0.1186,-0.1209,0.0098,-0.1262,1
C0013,Yolanda Ibáñez Salas,+51987100013,42573034,4484.14,64,F,Lima,urbana,microempresa,True,0.94,1.0,0.97,True,True,True,True,0.876,0.893,6,90.4,0.19,126,87,alto,False,True,True,348.46,0.359,0.3189,0.2825,0.2549,0.2286,0
C0014,Ana Cusi Mendoza,+51987100014,44626352,3674.71,32,F,Junín,rural,microempresa,False,0.29,0.56,0.43,True,True,True,True,0.282,0.276,0,0.0,0.65,7,0,bajo,False,True,True,261.56,0.73,-0.0393,-0.0027,-0.1068,-0.0895,2
C0015,Julio Mendoza Trujillo,+51987100015,62735211,2804.0,46,M,Cusco,periurbana,microempresa,False,0.2,0.48,0.34,True,True,True,True,0.374,0.323,3,66.7,0.58,83,56,medio,False,True,True,190.05,0.065,-0.0417,-0.0985,-0.0245,-0.0248,2
C0016,María Aliaga Cáceres,+51987100016,48518868,2953.2,62,F,Lima,urbana,microempresa,False,0.13,0.4,0.27,True,True,True,True,0.149,0.117,2,32.1,0.66,45,26,bajo,False,True,True,416.45,0.344,0.1228,0.1378,0.2286,0.2151,3
